label,probability,pred_label,uncertainty
0,6.37980201645405e-06,0,0.14324218034744263
0,0.00013075920287519693,0,0.18278156220912933
0,1.333776000522091e-29,0,0.029202641919255257
1,1.0,1,0.10255321115255356
0,1.8562791145575465e-19,0,0.0443158857524395
1,0.986315906047821,1,0.3170260488986969
0,4.059644872871082e-13,0,0.06550394743680954
0,4.4674730581562017e-10,0,0.0850013867020607
0,1.3575893796683078e-21,0,0.03996117785573006
0,1.763743840059289e-25,0,0.03389992192387581
0,1.7235370989629462e-18,0,0.04661770537495613
0,1.693881175885053e-39,0,0.021912094205617905
0,7.557509618116853e-10,0,0.08694401383399963
0,2.6012618725701486e-09,0,0.09188107401132584
0,5.469576614541838e-12,0,0.07160292565822601
0,6.519724403365387e-15,0,0.057696837931871414
0,9.370136542878187e-19,0,0.045964766293764114
0,5.597310182486664e-15,0,0.05744404345750809
0,3.7476730568696696e-25,0,0.03433860093355179
0,0.00013439437316264957,0,0.1832408457994461
0,2.560827567776869e-07,0,0.11642958223819733
0,2.1589048864941763e-20,0,0.0422993041574955
0,8.647645967363449e-12,0,0.07279680669307709
0,9.677374292269957e-15,0,0.05836180970072746
0,0.43094056844711304,0,0.8779574632644653
0,4.2480307657571215e-25,0,0.03441264480352402
0,0.6511058211326599,1,0.6531573534011841
0,1.749213838012076e-14,0,0.05938766896724701
1,2.9418233528453325e-14,0,0.06031879410147667
0,2.7561586693480855e-11,0,0.07600343972444534
0,4.724739336629254e-19,0,0.04525265097618103
0,4.084251600117161e-12,0,0.07086197286844254
0,6.064219095210468e-16,0,0.05399720370769501
0,9.99466605804784e-15,0,0.05841680243611336
1,1.0,1,0.06857045739889145
0,1.2167849127530046e-24,0,0.035047244280576706
0,1.347017386521543e-09,0,0.08918469399213791
1,0.9999357461929321,1,0.1716419905424118
0,7.826329238014296e-07,0,0.12452834844589233
0,9.402862169438642e-12,0,0.07301933318376541
1,0.9980558156967163,1,0.24269090592861176
0,5.319038098861029e-09,0,0.09500297158956528
0,4.381171120337868e-11,0,0.07736608386039734
0,1.5909988593122484e-17,0,0.04916471242904663
0,1.5024722134490689e-41,0,0.020833570510149002
0,1.2069584976526944e-21,0,0.03986749425530434
1,0.9993773102760315,1,0.21319986879825592
0,1.4730681119345945e-09,0,0.08954187482595444
0,3.4987184260870663e-09,0,0.09314946830272675
1,0.0002704405051190406,0,0.19578689336776733
0,0.00024167387164197862,0,0.19365434348583221
0,6.413427326533248e-24,0,0.03609870746731758
0,7.023566840971829e-13,0,0.0667014941573143
1,1.0,1,0.1039150059223175
0,2.8798426311972205e-22,0,0.038760337978601456
0,3.3175695604536716e-18,0,0.04734030365943909
0,1.0028770992636087e-14,0,0.05842261388897896
0,8.965939990446259e-09,0,0.09741920232772827
0,9.11063217055863e-15,0,0.05825921148061752
0,1.9791495577450083e-29,0,0.029371896758675575
1,0.00625761179253459,0,0.2829783260822296
0,1.5336482767743544e-17,0,0.049120381474494934
0,7.665536337832601e-17,0,0.051141463220119476
0,5.575559866360252e-20,0,0.04316549003124237
0,1.0069085565334035e-09,0,0.08804219216108322
1,0.9988434314727783,1,0.22827968001365662
0,0.43302464485168457,0,0.881243109703064
0,3.2587331235091604e-24,0,0.03566288948059082
0,0.00022709013137500733,0,0.1924939602613449
0,1.317443934037755e-27,0,0.031301792711019516
0,1.464422333397053e-10,0,0.08115436881780624
0,4.165673995400839e-26,0,0.033090487122535706
1,0.9999961853027344,1,0.13801224529743195
1,0.9043566584587097,1,0.44459623098373413
0,1.6014846512726194e-13,0,0.0635673850774765
0,0.4311296045780182,0,0.8782546520233154
0,3.823067113806287e-15,0,0.056821856647729874
0,6.063792898203246e-05,0,0.17078647017478943
0,8.135167206546612e-09,0,0.09695997089147568
1,0.9996556043624878,1,0.2005324512720108
0,1.6345941866225712e-14,0,0.059268396347761154
1,0.9999865293502808,1,0.15139128267765045
0,2.1141258119664633e-16,0,0.052503470331430435
1,1.0,1,0.10042345523834229
0,1.781801377449821e-12,0,0.06883876770734787
1,1.0,1,0.09770771116018295
0,2.8518557307344317e-11,0,0.07610215246677399
0,8.946145040045206e-12,0,0.07288683205842972
0,6.736894930803317e-10,0,0.08651173114776611
1,0.0001671273203101009,0,0.18697552382946014
0,5.650142539082671e-17,0,0.05074562504887581
0,3.582710503594565e-14,0,0.06067948043346405
0,6.64238110918262e-23,0,0.03768892586231232
0,2.7162749712233925e-27,0,0.031660329550504684
0,5.438148304066914e-13,0,0.06613720208406448
1,0.9999996423721313,1,0.11901126801967621
0,8.437972542907346e-11,0,0.079378642141819
0,3.586425943537969e-24,0,0.03572392836213112
0,1.477205978253713e-14,0,0.05909110978245735
0,5.1068949904922196e-24,0,0.03595088794827461
1,0.43071573972702026,0,0.8776042461395264
0,7.177563789865969e-20,0,0.04340207949280739
0,5.622797952934911e-23,0,0.03757094219326973
0,1.1494047033600019e-11,0,0.07355864346027374
0,2.9006976218920068e-18,0,0.047190312296152115
0,2.1064887334443227e-10,0,0.08236951380968094
0,3.7751658510387642e-06,0,0.13805420696735382
0,9.564186761836023e-16,0,0.05466970056295395
0,5.587603482126724e-06,0,0.14189474284648895
0,8.750158930759255e-10,0,0.0875013917684555
0,1.7637455940189284e-08,0,0.10073921829462051
0,4.644552913102328e-28,0,0.030799228698015213
0,8.255405248291936e-08,0,0.10923104733228683
0,6.713605903948042e-16,0,0.05414591729640961
0,9.921578126128108e-15,0,0.05840428173542023
0,0.0008040667744353414,0,0.2191775143146515
0,3.305421225095942e-23,0,0.03719968721270561
0,1.7108060035297967e-07,0,0.11375832557678223
0,1.0293649418429058e-15,0,0.05477976053953171
0,1.6527871024734934e-25,0,0.033862628042697906
0,5.790324816845605e-13,0,0.0662747249007225
0,4.6076516468929185e-07,0,0.12055180221796036
1,5.436120236140644e-15,0,0.057395871728658676
0,4.960414132400282e-13,0,0.06593670696020126
0,6.962893905892997e-08,0,0.10822460800409317
0,2.0271884865197265e-11,0,0.07512643933296204
1,1.0,1,0.08007980138063431
0,3.0875756985365876e-26,0,0.03292732685804367
0,4.1342171652791787e-19,0,0.0451163575053215
0,2.373239080057515e-19,0,0.04455845430493355
0,4.1561448597349226e-05,0,0.16544929146766663
